id,persona,question,answer,context,disease_phase,tags,source_file,chunk_index,pass_num,judge_score
chikungunya_qa_0021,Paciente,A vacina IXCHIQ é segura para adolescentes?,"Sim, a vacina IXCHIQ foi avaliada quanto à imunogenicidade e segurança em população adulta e adolescente.",Os dados clínicos apresentados para o registro da vacina incluíram avaliação de **imunogenicidade e segurança** em população adulta e adolescente.,N/A (Geral),"#Segurança, #Vacinação",IXCHIQ (vacina chikungunya) novo registro.md,5,1,100.0
chikungunya_qa_0022,Médica,Quais dados clínicos foram considerados para o registro da vacina IXCHIQ?,"O registro da vacina IXCHIQ incluiu a avaliação de imunogenicidade e segurança em população adulta e adolescente, sendo esses dados cruciais para sua aprovação.",Os dados clínicos apresentados para o registro da vacina incluíram avaliação de **imunogenicidade e segurança** em população adulta e adolescente.,N/A (Geral),"#DadosClínicos, #RegistroVacina",IXCHIQ (vacina chikungunya) novo registro.md,5,1,100.0
chikungunya_qa_0023,Médica,A avaliação de segurança da vacina IXCHIQ abrange qual população?,"A avaliação de segurança da vacina IXCHIQ abrange tanto a população adulta quanto a adolescente, o que é relevante para sua aplicação em diferentes faixas etárias.",Os dados clínicos apresentados para o registro da vacina incluíram avaliação de **imunogenicidade e segurança** em população adulta e adolescente.,N/A (Geral),"#Segurança, #População",IXCHIQ (vacina chikungunya) novo registro.md,5,1,100.0
chikungunya_qa_0024,Médica,Quais populações foram avaliadas para a segurança da vacina IXCHIQ?,A avaliação de segurança da vacina IXCHIQ abrangeu a população adulta e adolescente.,Os dados clínicos apresentados para o registro da vacina incluíram avaliação de imunogenicidade e segurança em população adulta e adolescente.,N/A (Geral),"#Segurança, #População",IXCHIQ (vacina chikungunya) novo registro.md,5,2,95.0
chikungunya_qa_0025,Médica,Qual foi o foco da avaliação clínica para a vacina IXCHIQ?,A avaliação clínica focou na imunogenicidade e segurança da vacina em indivíduos adultos e adolescentes.,Os dados clínicos apresentados para o registro da vacina incluíram avaliação de imunogenicidade e segurança em população adulta e adolescente.,N/A (Geral),"#Imunogenicidade, #Segurança",IXCHIQ (vacina chikungunya) novo registro.md,5,2,100.0
chikungunya_qa_0026,Paciente,A vacina IXCHIQ é adequada para adolescentes?,"Sim, a vacina IXCHIQ é adequada para adolescentes, pois os dados clínicos apresentados para o registro da vacina incluíram uma avaliação de imunogenicidade e segurança especificamente em populações adultas e adolescentes. Isso indica que a vacina foi testada e considerada segura para essa faixa etária.",Os dados clínicos apresentados para o registro da vacina incluíram avaliação de **imunogenicidade e segurança** em população adulta e adolescente.,N/A (Geral),"#Vacina, #Adolescentes",IXCHIQ (vacina chikungunya) novo registro.md,5,3,98.75
chikungunya_qa_0027,Médica,Que tipo de avaliação foi feita para a vacina IXCHIQ?,A avaliação da vacina IXCHIQ incluiu a análise de imunogenicidade e segurança em população adulta e adolescente.,Os dados clínicos apresentados para o registro da vacina incluíram avaliação de **imunogenicidade e segurança** em população adulta e adolescente.,N/A (Geral),"#Imunogenicidade, #Segurança",IXCHIQ (vacina chikungunya) novo registro.md,5,3,100.0
chikungunya_qa_0028,Médica,Qual a população alvo para a avaliação de segurança da vacina IXCHIQ?,A avaliação de segurança da vacina IXCHIQ abrange tanto a população adulta quanto a adolescente.,Os dados clínicos apresentados para o registro da vacina incluíram avaliação de **imunogenicidade e segurança** em população adulta e adolescente.,N/A (Geral),"#PopulaçãoAlvo, #Segurança",IXCHIQ (vacina chikungunya) novo registro.md,5,3,90.0
chikungunya_qa_0029,Paciente,Quais estudos foram feitos sobre a vacina IXCHIQ?,"Os estudos sobre a vacina IXCHIQ foram os seguintes: O primeiro, chamado Fase 1 (VLA1553-101), focou em verificar se a vacina é segura e se gera uma boa resposta do sistema imunológico. Depois, temos a Fase 3 (VLA1553-301), que é um estudo importante para confirmar a eficácia da vacina. Também há a Fase 3 (VLA1553-302), que serve como apoio a esses resultados. Existe ainda uma extensão (VLA1553-303) que está em andamento para ver por quanto tempo a proteção da vacina dura. Por último, temos a Fase 3 (VLA1553-321), que envolveu adolescentes de 12 a 18 anos no Brasil, com 502 participantes, sendo o único estudo feito em uma área onde a doença é comum.","Os dados clínicos apresentados foram provenientes de estudos conduzidos nos EUA, em população adulta saudável, que recebeu uma dose da vacina IXCHIQ:  | Estudo | População | Descrição | |--------|-----------|-----------| | **Fase 1 (VLA1553-101)** | Adultos saudáveis (EUA) | Segurança e imunogenicidade | | **Fase 3 (VLA1553-301)** | Adultos saudáveis (EUA) | Estudo pivotal | | **Fase 3 (VLA1553-302)** | Adultos saudáveis (EUA) | Suporte | | **Extensão (VLA1553-303)** | Adultos saudáveis (EUA) | Em andamento - persistência da resposta | | **Fase 3 (VLA1553-321)** | Adolescentes (12-18 anos, Brasil) | 502 participantes; único estudo em população endêmica |",N/A (Geral),"#Estudos, #Vacina IXCHIQ",IXCHIQ (vacina chikungunya) novo registro.md,7,1,98.75
chikungunya_qa_0030,Paciente,A vacina IXCHIQ foi testada em adolescentes?,"Sim, a vacina IXCHIQ foi testada em adolescentes de 12 a 18 anos no Brasil, com 502 participantes, sendo o único estudo em uma população que já tem a doença presente.","Fase 3 (VLA1553-321) | Adolescentes (12-18 anos, Brasil) | 502 participantes; único estudo em população endêmica",N/A (Geral),"#Vacina IXCHIQ, #Adolescentes",IXCHIQ (vacina chikungunya) novo registro.md,7,1,100.0
chikungunya_qa_0031,Médica,Qual foi a população estudada para a vacina IXCHIQ?,"A vacina IXCHIQ foi avaliada em estudos clínicos que incluíram uma população de adultos saudáveis nos Estados Unidos, conforme descrito nos ensaios clínicos Fase 1 (VLA1553-101), Fase 3 (VLA1553-301 e VLA1553-302) e Extensão (VLA1553-303), focando na segurança e imunogenicidade, bem como na persistência da resposta imunológica. Adicionalmente, um estudo Fase 3 (VLA1553-321) foi conduzido com adolescentes de 12 a 18 anos no Brasil, representando o único ensaio em uma população endêmica. A análise dos dados clínicos foi realizada para determinar a eficácia e a segurança da vacina em ambas as faixas etárias.","Os dados clínicos apresentados foram provenientes de estudos conduzidos nos EUA, em população adulta saudável, que recebeu uma dose da vacina IXCHIQ: | Fase 3 (VLA1553-321) | Adolescentes (12-18 anos, Brasil) | 502 participantes; único estudo em população endêmica |",N/A (Geral),"#População Estudada, #Vacina IXCHIQ",IXCHIQ (vacina chikungunya) novo registro.md,7,1,100
chikungunya_qa_0032,Médica,Quais fases dos estudos clínicos foram realizados para a vacina IXCHIQ?,"Os estudos clínicos da vacina IXCHIQ incluem a Fase 1 (VLA1553-101) focada em segurança e imunogenicidade, Fase 3 (VLA1553-301) como estudo pivotal, Fase 3 (VLA1553-302) para suporte, e a Extensão (VLA1553-303) que está em andamento para avaliar a persistência da resposta.","Os dados clínicos apresentados foram provenientes de estudos conduzidos nos EUA, em população adulta saudável, que recebeu uma dose da vacina IXCHIQ: | Estudo | População | Descrição | |--------|-----------|-----------| | **Fase 1 (VLA1553-101)** | Adultos saudáveis (EUA) | Segurança e imunogenicidade | | **Fase 3 (VLA1553-301)** | Adultos saudáveis (EUA) | Estudo pivotal | | **Fase 3 (VLA1553-302)** | Adultos saudáveis (EUA) | Suporte | | **Extensão (VLA1553-303)** | Adultos saudáveis (EUA) | Em andamento - persistência da resposta |",N/A (Geral),"#Fases de Estudo, #Vacina IXCHIQ",IXCHIQ (vacina chikungunya) novo registro.md,7,1,95.0
chikungunya_qa_0033,Paciente,Quais são as fases dos estudos clínicos da vacina IXCHIQ?,"As fases dos estudos clínicos da vacina IXCHIQ incluem: Fase 1 (VLA1553-101), Fase 3 (VLA1553-301), Fase 3 (VLA1553-302), Extensão (VLA1553-303) e Fase 3 (VLA1553-321).","| Estudo | População | Descrição |
|--------|-----------|-----------|
| **Fase 1 (VLA1553-101)** | Adultos saudáveis (EUA) | Segurança e imunogenicidade |
| **Fase 3 (VLA1553-301)** | Adultos saudáveis (EUA) | Estudo pivotal |
| **Fase 3 (VLA1553-302)** | Adultos saudáveis (EUA) | Suporte |
| **Extensão (VLA1553-303)** | Adultos saudáveis (EUA) | Em andamento - persistência da resposta |
| **Fase 3 (VLA1553-321)** | Adolescentes (12-18 anos, Brasil) | 502 participantes; único estudo em população endêmica |",N/A (Geral),"#EstudosClínicos, #VacinaIXCHIQ",IXCHIQ (vacina chikungunya) novo registro.md,7,2,100.0
chikungunya_qa_0034,Paciente,Quem participou dos estudos da vacina IXCHIQ?,Os estudos da vacina IXCHIQ foram conduzidos em adultos saudáveis nos EUA e em adolescentes de 12 a 18 anos no Brasil.,"| Estudo | População | Descrição |
|--------|-----------|-----------|
| **Fase 1 (VLA1553-101)** | Adultos saudáveis (EUA) | Segurança e imunogenicidade |
| **Fase 3 (VLA1553-321)** | Adolescentes (12-18 anos, Brasil) | 502 participantes; único estudo em população endêmica |",N/A (Geral),"#População, #VacinaIXCHIQ",IXCHIQ (vacina chikungunya) novo registro.md,7,2,95.0
chikungunya_qa_0035,Médica,Quais são os principais estudos que sustentam a vacina IXCHIQ?,"Os principais estudos da vacina IXCHIQ são: Fase 1 (VLA1553-101), Fase 3 (VLA1553-301), Fase 3 (VLA1553-302), Extensão (VLA1553-303) e Fase 3 (VLA1553-321), com 502 participantes na última fase em adolescentes no Brasil.","| Estudo | População | Descrição |
|--------|-----------|-----------|
| **Fase 1 (VLA1553-101)** | Adultos saudáveis (EUA) | Segurança e imunogenicidade |
| **Fase 3 (VLA1553-321)** | Adolescentes (12-18 anos, Brasil) | 502 participantes; único estudo em população endêmica |",N/A (Geral),"#EstudosClínicos, #VacinaIXCHIQ",IXCHIQ (vacina chikungunya) novo registro.md,7,2,100.0
chikungunya_qa_0036,Médica,Qual é o foco da avaliação clínica da vacina IXCHIQ?,"O foco da avaliação clínica da vacina IXCHIQ é a segurança e imunogenicidade em adultos saudáveis, além de um estudo específico em adolescentes que reside em uma população endêmica.","| Estudo | População | Descrição |
|--------|-----------|-----------|
| **Fase 1 (VLA1553-101)** | Adultos saudáveis (EUA) | Segurança e imunogenicidade |
| **Fase 3 (VLA1553-321)** | Adolescentes (12-18 anos, Brasil) | 502 participantes; único estudo em população endêmica |",N/A (Geral),"#AvaliaçãoClínica, #VacinaIXCHIQ",IXCHIQ (vacina chikungunya) novo registro.md,7,2,100.0
chikungunya_qa_0037,Médica,Qual é a descrição da Fase 3 (VLA1553-321) do estudo da vacina IXCHIQ?,"A Fase 3 (VLA1553-321) do estudo da vacina IXCHIQ envolve adolescentes de 12 a 18 anos no Brasil, com 502 participantes, sendo o único estudo realizado em uma população endêmica.","| **Fase 3 (VLA1553-321)** | Adolescentes (12-18 anos, Brasil) | 502 participantes; único estudo em população endêmica |",N/A (Geral),"#EstudosClinicos, #Adolescentes",IXCHIQ (vacina chikungunya) novo registro.md,7,3,100.0
chikungunya_qa_0038,Médica,Quais são os objetivos dos estudos da vacina IXCHIQ?,"Os estudos da vacina IXCHIQ têm como objetivos a segurança, imunogenicidade e a persistência da resposta imunológica, conforme evidenciado nas diferentes fases dos estudos clínicos.","| **Fase 1 (VLA1553-101)** | Adultos saudáveis (EUA) | Segurança e imunogenicidade |
| **Fase 3 (VLA1553-301)** | Adultos saudáveis (EUA) | Estudo pivotal |
| **Fase 3 (VLA1553-302)** | Adultos saudáveis (EUA) | Suporte |
| **Extensão (VLA1553-303)** | Adultos saudáveis (EUA) | Em andamento - persistência da resposta |",N/A (Geral),"#Estudos, #Vacina",IXCHIQ (vacina chikungunya) novo registro.md,7,4,95.0
chikungunya_qa_0039,Médica,Qual é a população estudada na Fase 3 (VLA1553-321) do estudo da vacina IXCHIQ?,"A população estudada na Fase 3 (VLA1553-321) do estudo da vacina IXCHIQ compreende adolescentes de 12 a 18 anos no Brasil, totalizando 502 participantes.","| **Fase 3 (VLA1553-321)** | Adolescentes (12-18 anos, Brasil) | 502 participantes; único estudo em população endêmica |",N/A (Geral),"#População, #Vacina",IXCHIQ (vacina chikungunya) novo registro.md,7,4,100.0
chikungunya_qa_0040,Médica,Qual a descrição da extensão do estudo VLA1553-303 da vacina IXCHIQ?,"A extensão VLA1553-303 envolve adultos saudáveis nos EUA e está em andamento, focando na persistência da resposta imunológica após a vacinação.",| **Extensão (VLA1553-303)** | Adultos saudáveis (EUA) | Em andamento - persistência da resposta |,N/A (Geral),"#Extensão, #Vacina IXCHIQ",IXCHIQ (vacina chikungunya) novo registro.md,7,5,100.0
chikungunya_qa_0041,Paciente,Quais são os estudos que avaliaram a vacina IXCHIQ?,"Os estudos que avaliaram a vacina IXCHIQ são: a Fase 1 (VLA1553-101), que olhou para a segurança e como o corpo reage à vacina; a Fase 3 (VLA1553-301), que foi um estudo importante; a Fase 3 (VLA1553-302), que deu suporte ao estudo anterior; a Extensão (VLA1553-303), que ainda está em andamento e verifica por quanto tempo a resposta da vacina dura; e a Fase 3 (VLA1553-321), que envolveu adolescentes de 12 a 18 anos no Brasil, sendo o único estudo feito em uma área onde a doença é comum.","| Estudo | População | Descrição |
|--------|-----------|-----------|
| **Fase 1 (VLA1553-101)** | Adultos saudáveis (EUA) | Segurança e imunogenicidade |
| **Fase 3 (VLA1553-301)** | Adultos saudáveis (EUA) | Estudo pivotal |
| **Fase 3 (VLA1553-302)** | Adultos saudáveis (EUA) | Suporte |
| **Extensão (VLA1553-303)** | Adultos saudáveis (EUA) | Em andamento - persistência da resposta |
| **Fase 3 (VLA1553-321)** | Adolescentes (12-18 anos, Brasil) | 502 participantes; único estudo em população endêmica |",N/A (Geral),"#Estudos, #Vacina IXCHIQ",IXCHIQ (vacina chikungunya) novo registro.md,7,6,98.75
chikungunya_qa_0042,Paciente,Quantas pessoas participaram do estudo da vacina IXCHIQ para adolescentes?,O estudo da vacina IXCHIQ para adolescentes contou com 502 participantes.,"| **Fase 3 (VLA1553-321)** | Adolescentes (12-18 anos, Brasil) | 502 participantes; único estudo em população endêmica |",N/A (Geral),"#Participantes, #Adolescentes",IXCHIQ (vacina chikungunya) novo registro.md,7,6,95.0
chikungunya_qa_0043,Médica,Qual é a taxa de soroconversão observada na vacina IXCHIQ?,"A taxa de soroconversão da vacina IXCHIQ é de 98,9% para título de anticorpos ≥ 150 µPRNT50, considerado razoavelmente provável para prever proteção.","taxa de soroconversão de 98,9% dos indivíduos adultos avaliados para título de anticorpos ≥ 150 µPRNT50 (considerado razoavelmente provável para prever proteção)",N/A (Geral),"#Vacina, #Soroconversão",IXCHIQ (vacina chikungunya) novo registro.md,8,1,100.0
chikungunya_qa_0044,Médica,Qual a persistência da resposta imune da vacina IXCHIQ?,A persistência da resposta da vacina IXCHIQ é mantida após 12 meses.,título de anticorpos considerado razoavelmente provável para prever proteção mantido após 12 meses,N/A (Geral),"#Vacina, #Persistência",IXCHIQ (vacina chikungunya) novo registro.md,8,1,90.0
chikungunya_qa_0045,Paciente,"O que significa uma taxa de soroconversão de 98,9% na vacina IXCHIQ?",Isso significa que quase todos os adultos que tomaram a vacina desenvolveram anticorpos suficientes para provavelmente estarem protegidos.,"taxa de soroconversão de 98,9% dos indivíduos adultos avaliados para título de anticorpos ≥ 150 µPRNT50 (considerado razoavelmente provável para prever proteção)",N/A (Geral),"#Eficácia, #Vacina",IXCHIQ (vacina chikungunya) novo registro.md,8,2,100.0
chikungunya_qa_0046,Paciente,Por quanto tempo a vacina IXCHIQ pode proteger as pessoas?,A vacina pode manter a proteção por até 12 meses após a aplicação.,título de anticorpos considerado razoavelmente provável para prever proteção mantido após 12 meses,N/A (Geral),"#Duração, #Vacina",IXCHIQ (vacina chikungunya) novo registro.md,8,2,95.0
chikungunya_qa_0047,Médica,A vacina IXCHIQ induz resposta imunológica em populações idosas?,"Sim, a vacina IXCHIQ demonstrou induzir resposta imune robusta em indivíduos com 65 anos ou mais, com títulos médios de anticorpos similares aos de adultos com menos de 65 anos.","vacina demonstrou induzir resposta imune robusta, com títulos médios de anticorpos similares aos de adultos com menos de 65 anos",N/A (Geral),"#Eficácia, #PopulaçãoIdosa",IXCHIQ (vacina chikungunya) novo registro.md,8,2,100.0
chikungunya_qa_0048,Médica,Quais são os resultados da vacina IXCHIQ em populações idosas?,"A vacina IXCHIQ demonstrou induzir resposta imune robusta em indivíduos com 65 anos ou mais, com títulos médios de anticorpos similares aos de adultos com menos de 65 anos.","vacina demonstrou induzir resposta imune robusta, com títulos médios de anticorpos similares aos de adultos com menos de 65 anos",N/A (Geral),"#Vacina, #PopulaçãoIdosa",IXCHIQ (vacina chikungunya) novo registro.md,8,3,100.0
chikungunya_qa_0049,Médica,Qual foi a taxa de soroconversão observada no estudo da vacina IXCHIQ?,"O estudo da vacina IXCHIQ observou uma taxa de soroconversão de 98,9% dos indivíduos adultos avaliados para título de anticorpos ≥ 150 µPRNT50.","taxa de soroconversão de 98,9% dos indivíduos adultos avaliados para título de anticorpos ≥ 150 µPRNT50",N/A (Geral),"#Vacina, #Soroconversão",IXCHIQ (vacina chikungunya) novo registro.md,8,3,95.0
chikungunya_qa_0050,Paciente,"O que significa ter uma taxa de soroconversão de 98,9% para a vacina IXCHIQ?","Isso significa que quase todas as pessoas que receberam a vacina desenvolveram anticorpos, o que é um bom sinal de que a vacina pode proteger contra a doença.","taxa de soroconversão de 98,9% dos indivíduos adultos avaliados para título de anticorpos ≥ 150 µPRNT50 (considerado razoavelmente provável para prever proteção)",N/A (Geral),"#Vacina, #Proteção",IXCHIQ (vacina chikungunya) novo registro.md,8,4,95.0
chikungunya_qa_0051,Paciente,A vacina IXCHIQ é eficaz para idosos?,"Sim, a vacina IXCHIQ mostrou que também induz uma boa resposta imune em pessoas idosas, com níveis de anticorpos semelhantes aos de adultos mais jovens.","vacina demonstrou induzir resposta imune robusta, com títulos médios de anticorpos similares aos de adultos com menos de 65 anos",N/A (Geral),"#Vacina, #Idosos",IXCHIQ (vacina chikungunya) novo registro.md,8,4,100.0
chikungunya_qa_0052,Médica,Qual foi a taxa de soroconversão observada na vacina IXCHIQ em adultos?,"A taxa de soroconversão observada foi de 98,9% para título de anticorpos ≥ 150 µPRNT50, considerado razoavelmente provável para prever proteção.","taxa de soroconversão de 98,9% dos indivíduos adultos avaliados para título de anticorpos ≥ 150 µPRNT50 (considerado razoavelmente provável para prever proteção)",N/A (Geral),"#Vacina, #Soroconversão",IXCHIQ (vacina chikungunya) novo registro.md,8,4,100.0
chikungunya_qa_0053,Paciente,A vacina contra Chikungunya pode ajudar quem já teve a doença?,"A vacina não ajuda muito quem já teve a doença ou teve contato com o vírus antes da vacinação, pois não aumenta significativamente os anticorpos.",a vacina não induz aumentos significativos de títulos de anticorpos em indivíduos que já tiveram a doença ou tiveram contato prévio com o vírus antes da vacinação,N/A (Geral),"#Vacina, #Chikungunya",IXCHIQ (vacina chikungunya) novo registro.md,9,1,100.0
chikungunya_qa_0054,Médica,Qual é o impacto da vacinação em indivíduos com infecção prévia de Chikungunya?,A vacina não induz aumentos significativos de títulos de anticorpos em indivíduos que já tiveram a doença ou contato prévio com o vírus antes da vacinação.,a vacina não induz aumentos significativos de títulos de anticorpos em indivíduos que já tiveram a doença ou tiveram contato prévio com o vírus antes da vacinação,N/A (Geral),"#Vacinação, #Chikungunya",IXCHIQ (vacina chikungunya) novo registro.md,9,1,100.0
chikungunya_qa_0055,Médica,Quais são os dados sobre a eficácia da vacina contra Chikungunya?,"O texto menciona o valor da eficácia e duração da proteção contra a doença Chikungunya, mas não fornece dados específicos.",Valor da eficácia e duração da proteção contra a doença Chikungunya,N/A (Geral),"#Eficácia, #Vacina",IXCHIQ (vacina chikungunya) novo registro.md,9,1,95.0
